,deg,rad,X,Y,Z,,,,X,Y,Z,,,,X,Y,Z,
16,28.8,0.502654824,0.061846659839717,-0.058287820625375,0,,,(,0.993844170030824,-0.003180669458582,0,),,(,0.993844170030824,-0.003180669458582,0.3,)
15,27,0.4712388975,0.054496737783586,-0.055299818862654,0,,,(,0.996057350441277,-0.002717769471727,0,),,(,0.996057350441277,-0.002717769471727,0.3,)
14,25.2,0.439822971,0.047586473659998,-0.052204283363039,0,,,(,0.997780982137693,-0.002356384849902,0,),,(,0.997780982137693,-0.002356384849902,0.3,)
13,23.4,0.4084070445,0.04112268706534,-0.049005888884203,0,,,(,0.999013364103687,-0.002097525541972,0,),,(,0.999013364103687,-0.002097525541972,0.3,)
12,21.6,0.376991118,0.035111756976585,-0.045709306322508,0,,,(,0.999753280127051,-0.0019419179661,0,),,(,0.999753280127051,-0.0019419179661,0.3,)
11,19.8,0.3455751915,0.029559615456007,-0.042319157339681,0,,,(,1,-0.00189,0,),,(,1,-0.00189,0.3,)
10,18,0.314159265,0.024471741796958,-0.038839969722032,0,,,,,,,,,,,,,
9,16.2,0.2827433385,0.01985315711646,-0.035276133992987,0,,,,,,,,,,,,,
8,14.4,0.251327412,0.015708419399975,-0.031631861788986,0,,,,,,,,,,,,,
7,12.6,0.2199114855,0.012041619003218,-0.027911146491243,0,,,,,,,,,,,,,
6,10.8,0.188495559,0.008856374615476,-0.024117726581769,0,,,,,,,,,,,,,
5,9,0.1570796325,0.006155829688392,-0.020255052161572,0,,,,,,,,,,,,,
4,7.2,0.125663706,0.003942649333763,-0.016326255032679,0,,,,,,,,,,,,,
3,5.4,0.0942477795,0.002219017693393,-0.01233412270381,0,,,,,,,,,,,,,
2,3.6,0.062831853,0.00098663578361,-0.008281076632908,0,,,,,,,,,,,,,
1,1.8,0.0314159265,0.00024671981657,-0.004169154968825,0,,,,,,,,,,,,,
0,0,0,0,0,0,,,,,,,,,,,,,
